SiO2,TiO2,Al2O3,Cr2O3,Fetot,MnO,MgO,CaO,Na2O,K2O,P2O5,NiO,ZnO,Li2O,Fe3+/Fetot
54.8,0.0001,2.06,1.42,2.24,0.08,16.9,19.86,1.81,,,0.03,,,0.197
41.75,0.0001,21.01,3.51,6.94,0.33,21.1,4.85,0.04,,,0.03,,,0.05
55,0.07,2.32,2.21,2.1,0.06,16.82,19.72,2.27,,,0.05,,,0.226
54.31,0.05,1.65,1.27,2.34,0.06,17.44,20.3,1.35,,,,,,0.147
55.29,0.08,2.24,2.84,2.31,0.08,16.97,19.16,2.34,,,0.04,,,0.227
55.56,0.02,2.26,1.86,2.26,0.07,17.08,19.93,2.12,,,0.06,,,0.219
54.6,0.2,2.98,1.17,4.11,0.09,14.96,18.11,2.77,,,0.03,,,0.334
41.62,0.14,21.56,1.73,12.3,0.39,18.24,4.31,0.06,,,0.03,,,0.048
47.486,3.015,6.247,0.06,6.702,0.095,13.441,22.659,0.51,0.004,,,,,0.28
47.662,3.121,6.527,0.066,6.678,0.097,13.412,22.6,0.513,0.003,,,,,0.332
47.439,3.16,6.675,0.046,6.606,0.098,13.466,22.635,0.492,0.002,,,,,0.285
47.951,2.979,6.418,0.056,6.594,0.125,13.662,22.571,0.475,0.005,,,,,0.339
47.02,2.583,6.33,0.079,7.186,0.148,12.2,22.771,0.644,0.009,,,,,0.388
49.912,1.042,3.022,0.21,6.818,0.149,15.482,21.388,0.409,0.003,,,,,0.189
50.682,0.725,3.42,0.359,6.963,0.145,17.225,18.513,0.489,0,,,,,0.192
49.335,1.297,3.717,0.2,6.817,0.112,14.877,21.83,0.443,0.006,,,,,0.192
51.31,0.476,6.632,0.936,2.628,0.071,15.508,20.066,1.544,0.007,,,,,0.145
48.09,,,,29.61,,,21.6,,,,,,,0
48.18,,,,29.17,,,22.95,,,,,,,0
48.41,,,,24.42,,,22.53,,,,,5.16,,0
47.37,,,,22.81,,,22.12,,,,,7.61,,0
47.47,,,,18.96,,,22.49,,,,,10.81,,0.106
47.51,,,,16.02,,,21.76,,,,,15.04,,0.038
47.03,,,,11.7,,,22.24,,,,,19.62,,0.036
46.37,,,,7.69,,,21.65,,,,,23.76,,0.022
45.98,,,,5.76,,,21.94,,,,,26.9,,0.033
51.04,0.01,0.36,,17.75,0.79,6.88,22.87,,,,,,,0
64.051,0.0003,27.974,,0.0362,0.0694,,0.3795,0.133,0.0015,0.055,,,7.621,1
64.32,0.02,26.28,,2.25,0.27,0.02,0.0001,0.14,0.0001,,,,7.8,0.929
63.88,0.0001,25.45,,3.23,0.29,0.0001,0.03,0.15,0.0001,,,,7.5,0.904
63.76,0.0001,24.08,,4.37,0.1,0.0001,0.0001,0.15,0.0001,,,,7.76,0.938
51.4,0.7,7.52,0.67,2.93,0.11,14.59,19.89,2.03,,,0.04,,,0.136
51.71,0.8,7.16,0.62,2.97,0.68,14.72,19.91,2.2,,,0.06,,,0.096
52.49,0.25,5.07,1.68,2.38,0.03,15.07,19.76,2.02,,,0,,,0.065
51.69,0.62,7.14,0.7,3.08,0.04,15.48,18.68,1.67,,,0.07,,,0.177
